Pais,Consumo,DMFT
1,22.16,3.4
1,49.96,2
1,47.32,4.4
1,40.86,3.1
1,48.92,3
1,42.12,4.3
1,49.92,3.6
1,48.28,1.6
1,41.96,2
1,37.4,3
1,39.42,5.2
1,33.3,4.4
1,48.98,5
1,51.62,6.6
1,48.56,2.9
1,30.74,3
1,47.62,1.6
1,53.54,2.5
1,50.16,2.4
1,41.28,2.7
1,49.28,4.4
1,33.48,3.2
1,45.6,2.2
1,44.98,2.4
1,28.32,2.7
1,43.95,3.1
1,32.14,1.8
1,37.86,6.1
1,23.32,4.9
2,36.6,2.3
2,12,1.7
2,34.56,3.4
2,34.4,1.6
2,34.86,1.3
2,2.88,3.5
2,63.02,4.4
2,49.02,4
2,35.6,0.5
2,46.98,6.7
2,7.56,1.5
2,4.66,0.7
2,37.76,4.8
2,62.14,3.9
2,34.1,2.5
2,34.44,5.1
2,3.92,0.4
2,54.24,2.8
2,26.56,1.6
2,4.36,0.4
2,35.3,8.1
2,40.65,2.7
2,11.17,3.2
2,24.18,1.5
2,12.5,2.3
2,43,2.7
2,10.74,2.9
2,45.98,6.7
2,44.44,1
2,11.56,0.9
2,44.63,2
2,7.76,4.4
2,7.56,0.9
2,35.1,3.9
2,31.43,2.1
2,5,2.2
2,32.68,1.8
2,1.44,1.1
2,4.68,1.7
2,10.15,2
2,16.02,1.2
2,23.93,2.2
2,38.66,1.8
2,14.26,1.5
2,4.84,1.3
2,49.56,2.5
2,11.82,1.3
2,18.1,1.9
2,24.16,2.1
2,40.18,1.7
2,4.72,0.6
2,15.34,1.5
2,10.7,0.3
2,27.3,2.1
2,0.97,1.5
2,19.1,2.5
2,30,3.1
2,22.33,0.7
2,2.66,1
2,18.53,2.3
2,27,1.2
