ID,Linhagem,Racao,Peso
1,ALOX 5,NovaIr,12.74
2,ALOX 5,NovaIr,14.33
3,ALOX 5,NovaIr,11.46
4,ALOX 5,NovaAuto,12.13
5,ALOX 5,NovaAuto,8.64
6,ALOX 5,NovaAuto,13.24
7,ALOX 5,Controle,19.14
8,ALOX 5,Controle,16.86
9,ALOX 5,Controle,18.57
10,129 PAS,NovaIr,16.44
11,129 PAS,NovaIr,16.43
12,129 PAS,NovaIr,15.22
13,129 PAS,NovaAuto,11.25
14,129 PAS,NovaAuto,12.71
15,129 PAS,NovaAuto,8.69
16,129 PAS,Controle,21.75
17,129 PAS,Controle,18.72
18,129 PAS,Controle,19.49
19,Swiss,Controle,35.6
20,Swiss,Controle,35.7
21,Swiss,Controle,37.8
22,Swiss,Controle,30.2
23,Swiss,Controle,30.8
24,Swiss,Controle,34.6
25,Swiss,Controle,32.6
26,Swiss,Controle,34.9
27,Swiss,Controle,31.9
28,Swiss,NovaAuto,28.8
29,Swiss,NovaAuto,26.7
30,Swiss,NovaAuto,26
31,Swiss,NovaAuto,29.4
32,Swiss,NovaAuto,27.4
33,Swiss,NovaAuto,NA
34,Swiss,NovaAuto,29.4
35,Swiss,NovaAuto,27.4
36,Swiss,NovaAuto,28
37,Swiss,NovaIr,28.2
38,Swiss,NovaIr,27
39,Swiss,NovaIr,27.7
40,Swiss,NovaIr,27.9
41,Swiss,NovaIr,30.6
42,Swiss,NovaIr,27
43,Swiss,NovaIr,29
44,Swiss,NovaIr,30.6
45,Swiss,NovaIr,31.9
